framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
alien-signals          , molBench                                                     , 514.67   , 514.67   , 514.67   , 0.000    , dynamic        , mixed app graph          ,                                                                                                 
alien-signals          , createDataSignals                                            , 7.65     , 7.65     , 7.65     , 0.000    , creation       , signal creation          ,                                                                                                 
alien-signals          , createComputations0to1                                       , 5.99     , 5.99     , 5.99     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to1                                       , 1.04     , 1.04     , 1.04     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations2to1                                       , 4.57     , 4.57     , 4.57     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations4to1                                       , 4.03     , 4.03     , 4.03     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1000to1                                    , 0.08     , 0.08     , 0.08     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to2                                       , 6.04     , 6.04     , 6.04     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to4                                       , 7.08     , 7.08     , 7.08     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to8                                       , 7.13     , 7.13     , 7.13     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to1000                                    , 6.29     , 6.29     , 6.29     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , updateComputations1to1                                       , 8.08     , 8.08     , 8.08     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations2to1                                       , 5.24     , 5.24     , 5.24     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations4to1                                       , 6.33     , 6.33     , 6.33     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations1000to1                                    , 0.10     , 0.10     , 0.10     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations1to2                                       , 5.45     , 5.45     , 5.45     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations1to4                                       , 2.42     , 2.42     , 2.42     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations1to1000                                    , 0.09     , 0.09     , 0.09     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 462.81   , 462.81   , 462.81   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
alien-signals          , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 675.20   , 675.20   , 675.20   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
alien-signals          , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 387.31   , 387.31   , 387.31   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
alien-signals          , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 763.31   , 763.31   , 763.31   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 192.93   , 192.93   , 192.93   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 161.51   , 161.51   , 161.51   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
alien-signals          , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 1523.95  , 1523.95  , 1523.95  , 0.000    , large_graph    , layered DAG              , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
alien-signals          , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 8.11     , 8.11     , 8.11     , 0.000    , large_graph    , diamond mesh             , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
